styrk98_7digit,styrk08_4digit
1227298,1213
1227299,1213
1227300,1219
1227301,1213
1227302,1213
1227303,1213
1227304,1213
1228101,1342
1228102,1345
1228103,1342
1228104,1343
1228105,1345
1228106,1341
1228107,1343
1228108,1342
1228109,1341
1228111,1345
1228112,1343
1228113,1342
1228114,1345
1228116,1343
1228117,1343
1228118,1342
1228119,1342
1228120,1342
1228121,1345
1228122,1341
1228123,1341
1228125,1345
1228126,1345
1228127,1345
1228129,1342
1228130,1342
1228131,1345
1228132,1345
1228133,1342
1228134,1342
1228135,1345
1228136,1342
1228137,1345
1228139,1342
1228140,1342
1228141,1342
1228142,1311
1228143,1342
1228146,1342
1228147,1343
1228148,1342
1228149,1342
1228150,1342
1228151,1341
1228152,1344
1228153,1342
1228154,1343
1228155,1342
1228156,1342
1228157,1342
1228158,1342
1228159,1342
1228160,1342
1228161,1342
1228162,1342
1228163,1342
1228164,1342
1228165,1342
1228166,1342
1228167,1342
1228168,1120
1228169,1343
1228170,1344
1228171,1344
1228172,1344
1228173,1344
1228174,1344
1228175,1344
1228176,1344
1228177,1344
1228178,1344
1228179,1344
1228180,1344
1228181,1344
1228182,1344
1228183,1344
1228184,1344
1228185,1344
1228186,1344
1228187,1344
1228188,1344
1228189,1345
1228190,1345
1228191,1345
1228192,1345
1228193,1345
1228194,1345
1228195,1341
1228196,1345
1228197,1345
1228198,1342
1228199,1341
1228200,1223
1229101,1439
1229102,1439
1229103,1431
1229104,1431
1229105,1439
1229106,1344
1229107,1344
1229108,1431
1229109,1431
1229110,1120
1229111,1431
1229112,1344
1229114,1431
1229115,1431
1229117,1431
1229118,1431
1229119,1349
1229120,1114
1229121,1219
1229122,1114
1229123,1431
1229124,1431
1229125,1431
1229126,1344
1229127,1344
1229128,1344
1229129,1431
1229130,1431
1229131,1114
1229132,1431
1229133,1439
1229134,1439
1229135,1431
1229136,1431
1229137,1219
1229138,1431
1229139,1431
1231102,1346
1231103,1219
1231104,1211
1231105,1211
1231106,1211
1231108,1211
1231109,1211
1231110,1211
1231111,1211
1231113,1212
1231114,1213
1231115,1211
1231116,1211
1231117,1211
1231118,1211
1231119,3341
1231120,1211
1231121,1211
1231122,1211
1231123,1211
1231124,1211
1231125,1211
1231126,1219
1231127,1211
1231128,1211
1231129,1211
1231130,1211
1231131,1211
1231132,1219
